molregno,Compound ChEMBL ID,docid
552910,CHEMBL538822,[9730]
1579382,CHEMBL2420590,[74671]
1820481,CHEMBL3356344,[89935]
60995,CHEMBL288138,[201]
648558,CHEMBL1170608,[51653]
19239,CHEMBL17479,"[14349, 21537]"
2060048,CHEMBL3754490,[97770]
153124,CHEMBL92135,[4527]
551826,CHEMBL538776,[12451]
462150,CHEMBL502787,[43389]
1799650,CHEMBL3351043,[10984]
1954623,CHEMBL3597667,[92893]
135318,CHEMBL432186,[1860]
283824,CHEMBL170930,[6139]
12082,CHEMBL13393,[3681]
19491,CHEMBL17252,[1175]
23276,CHEMBL613,"[11721, 13099, 16783, 35103, 37683, 44329, 51919, 51887, 55976, 60194]"
1150830,CHEMBL1784156,[57883]
1739207,CHEMBL3246591,[82774]
1949223,CHEMBL3586008,[92661]
1275648,CHEMBL1940790,[60768]
1142568,CHEMBL1770269,[57460]
705106,CHEMBL1256122,[53154]
330686,CHEMBL197170,[30133]
2068318,CHEMBL3763784,[98396]
1621355,CHEMBL3122028,[77046]
87485,CHEMBL293823,[12874]
58836,CHEMBL38874,"[3698, 10976, 16887, 17733, 17480, 6269, 15923, 1284, 2703, 11123, 16467, 14493, 2790, 12456, 4022, 3414, 3460, 15610, 9617, 15191, 11206, 10021, 3565, 16341, 20185, 21121, 21694, 30571, 30746, 31109, 31490, 31659, 35613, 35835, 35977, 36495, 36542, 36586, 36597, 37896, 38119, 38754, 39273, 39419, 42574, 45431, 43854, 43813, 45005, 41786, 42044, 44050, 45287, 45091, 46383, 46647, 46432, 47632, 48525, 48670, 49140, 49184, 49287, 49225, 50730, 50978, 52184, 52824, 45320, 54776, 56053, 57260, 57263, 58066, 59112, 61195, 62426, 64053, 64340, 65578, 65805, 66594, 66611, 67046, 72694, 72782, 73618, 73763, 73892, 73872, 73877, 74359, 74619, 74620, 74890, 75230, 82464, 83061, 89424, 89355, 89294, 90579, 90662, 91175, 91372, 92984, 97620, 98348, 98621, 99227, 99370]"
710568,CHEMBL1271317,[53455]
1746522,CHEMBL3261562,[83255]
1564816,CHEMBL2391246,"[73982, 92617]"
416178,CHEMBL399662,[37852]
207280,CHEMBL126755,[16591]
424993,CHEMBL255102,[39259]
300060,CHEMBL178393,[20705]
291284,CHEMBL176474,[10479]
570586,CHEMBL584562,[48676]
491446,CHEMBL491000,[44628]
102112,CHEMBL385849,[11077]
478678,CHEMBL492801,[46701]
467402,CHEMBL479769,[43862]
156311,CHEMBL95101,[10337]
216736,CHEMBL130104,[12138]
559546,CHEMBL561415,[47376]
2088325,CHEMBL3809841,[99406]
1741281,CHEMBL3248645,[82613]
38297,CHEMBL29989,"[6986, 8873]"
1570118,CHEMBL2402526,[74255]
459502,CHEMBL512151,[47159]
647251,CHEMBL1164277,[51449]
1344682,CHEMBL2035161,[62197]
629751,CHEMBL1087366,[51071]
1746939,CHEMBL3261975,[83124]
522833,CHEMBL523250,"[47013, 55206]"
1624719,CHEMBL3128087,[77122]
148897,CHEMBL92899,"[4517, 4517, 4517, 99791]"
169613,CHEMBL322909,[13489]
1704295,CHEMBL3215518,[3852]
1743484,CHEMBL3250826,[82738]
1424643,CHEMBL2158110,[65652]
158029,CHEMBL319548,[13472]
21158,CHEMBL18085,[10504]
112813,CHEMBL71228,"[15466, 46238]"
554778,CHEMBL540668,[47518]
50801,CHEMBL35816,[1220]
1743175,CHEMBL3250520,[82887]
1510858,CHEMBL2311818,[71892]
305780,CHEMBL181964,[20774]
1526817,CHEMBL2337140,[72450]
1076497,CHEMBL1688728,[56082]
204184,CHEMBL124086,[6539]
605704,CHEMBL604356,"[10061, 11627]"
68600,CHEMBL46542,[5090]
418004,CHEMBL251165,[37903]
601757,CHEMBL599136,[49538]
1739737,CHEMBL3247116,[82778]
237516,CHEMBL143882,[9278]
263728,CHEMBL345581,[3536]
1431432,CHEMBL2171933,"[65969, 94424]"
1753061,CHEMBL3275033,[83441]
157319,CHEMBL328777,[5717]
1515851,CHEMBL2316761,[71843]
1271868,CHEMBL1934400,[60731]
1428634,CHEMBL2165199,[65871]
1087273,CHEMBL1706542,"[51887, 51887, 61590]"
2054055,CHEMBL3742137,[97396]
95200,CHEMBL60296,[16410]
619966,CHEMBL1091104,[50648]
1060861,CHEMBL1649705,[54773]
23433,CHEMBL438940,[3618]
1366924,CHEMBL2089243,[64902]
1472128,CHEMBL2236607,[69042]
1727603,CHEMBL3221195,[82042]
1351874,CHEMBL2048442,[62419]
1949883,CHEMBL3586662,[92609]
269260,CHEMBL159330,[12213]
1727726,CHEMBL3221317,[81859]
577584,CHEMBL568174,[49116]
561568,CHEMBL563880,[47395]
446206,CHEMBL454072,"[41280, 41437]"
1487625,CHEMBL2270323,[70428]
77087,CHEMBL51112,[2662]
454046,CHEMBL521387,[44846]
1586544,CHEMBL2437385,[75241]
1067908,CHEMBL1669034,[55353]
405374,CHEMBL240794,[37046]
1604903,CHEMBL3087425,[76064]
556916,CHEMBL565190,[47927]
2090583,CHEMBL3817921,[99557]
60120,CHEMBL42423,"[4802, 9923, 1971, 76288]"
1614730,CHEMBL3109529,[76635]
70862,CHEMBL50017,[7856]
571904,CHEMBL574456,[48705]
371256,CHEMBL386006,[35208]
7109,CHEMBL10017,[17417]
289273,CHEMBL174144,[8072]
444708,CHEMBL481464,[39609]
77058,CHEMBL49981,"[10584, 11302]"
1575792,CHEMBL2414556,[74549]
1608670,CHEMBL3094281,[76187]
415816,CHEMBL400338,[37921]
2051155,CHEMBL3735491,[97362]
389475,CHEMBL245161,"[36721, 37385]"
421232,CHEMBL252120,[37987]
413452,CHEMBL427883,[37689]
1476306,CHEMBL2252376,[69579]
328360,CHEMBL195532,[30204]
1057344,CHEMBL1642864,[54755]
296309,CHEMBL178428,[21571]
69772,CHEMBL47688,"[7856, 52230]"
1613807,CHEMBL3105712,[76463]
416609,CHEMBL248632,[37915]
72698,CHEMBL301733,[8157]
1957343,CHEMBL3604306,[93102]
2077982,CHEMBL3787674,[98792]
474776,CHEMBL481367,[45630]
1463027,CHEMBL2228874,"[67912, 67931]"
1473361,CHEMBL2237828,[69054]
442298,CHEMBL429434,"[38786, 45633]"
2013474,CHEMBL3680373,[94264]
113679,CHEMBL432721,[17812]
383138,CHEMBL231134,[36154]
113451,CHEMBL73345,[14969]
232292,CHEMBL141455,[11576]
1179449,CHEMBL1835395,[59165]
457854,CHEMBL489124,"[46085, 94142]"
157315,CHEMBL319290,[17545]
1279018,CHEMBL1950045,"[45831, 55247, 61067, 65454, 71534, 77075, 83794, 91543, 97431]"
1576187,CHEMBL2414947,[74504]
101695,CHEMBL65601,"[16996, 36684, 45468]"
496514,CHEMBL458006,[69883]
2078060,CHEMBL3785639,[98863]
179261,CHEMBL323466,[2882]
427387,CHEMBL260910,[38708]
498650,CHEMBL517045,[46296]
2069134,CHEMBL3764374,[98378]
2022262,CHEMBL3689073,[95041]
566034,CHEMBL558649,[47998]
1354151,CHEMBL2058390,[62623]
96795,CHEMBL294288,[11251]
237511,CHEMBL142677,[7342]
457541,CHEMBL461989,[46098]
1632246,CHEMBL3142955,[16158]
1606958,CHEMBL3092586,[76290]
625097,CHEMBL1096249,[50947]
1376098,CHEMBL2103828,"[65106, 66014, 84147, -1, 99185]"
394299,CHEMBL233674,[36264]
558910,CHEMBL559999,[48001]
714733,CHEMBL1288338,[54096]
164725,CHEMBL319483,[14525]
554807,CHEMBL561852,[47556]
1795780,CHEMBL3343625,[89786]
1343367,CHEMBL2031304,[61929]
643560,CHEMBL1162021,[37135]
553148,CHEMBL538578,"[31067, 35747]"
1341654,CHEMBL2029608,[61950]
572780,CHEMBL573498,[48618]
34018,CHEMBL25090,"[12282, 51887]"
1783696,CHEMBL3319045,[90574]
574761,CHEMBL570801,[48511]
320876,CHEMBL366230,"[21672, 45473]"
1758189,CHEMBL3287660,[83999]
625770,CHEMBL1095635,[51220]
400546,CHEMBL394076,[36855]
1757321,CHEMBL3286800,[83825]
110525,CHEMBL303176,[5604]
1839340,CHEMBL3416143,[91550]
1387284,CHEMBL2115333,[9105]
1754563,CHEMBL3276520,[83626]
36439,CHEMBL281007,[9015]
1734777,CHEMBL3236246,[82351]
413954,CHEMBL401301,[37639]
587833,CHEMBL602578,"[49165, 51928, 57966]"
182116,CHEMBL111346,[2892]
429765,CHEMBL406747,"[39243, 47903]"
510328,CHEMBL502548,[44184]
1281590,CHEMBL1956073,[61225]
312376,CHEMBL189398,[21060]
1268152,CHEMBL1927198,[60480]
1266781,CHEMBL1923179,[60296]
4866,CHEMBL413445,[16848]
1140140,CHEMBL1765120,[57322]
202607,CHEMBL122436,[8209]
599511,CHEMBL596712,[49858]
591124,CHEMBL594218,[49487]
374012,CHEMBL224265,"[35412, 51887, 65106, 51887]"
4210,CHEMBL8702,[4801]
122764,CHEMBL77751,[17022]
443021,CHEMBL449198,"[42834, 40596]"
412460,CHEMBL246278,[37515]
1170335,CHEMBL1818140,[58619]
342647,CHEMBL206861,[30892]
444655,CHEMBL447199,[39623]
484302,CHEMBL455239,[41508]
355703,CHEMBL210156,[31532]
125991,CHEMBL428977,[9929]
79012,CHEMBL51167,"[9158, 51887]"
1748683,CHEMBL3263702,[83075]
50171,CHEMBL285938,[6710]
218474,CHEMBL435978,[14648]
1625110,CHEMBL3133020,[77345]
27177,CHEMBL21859,"[5453, 5453]"
1528896,CHEMBL2347072,[72780]
1151399,CHEMBL1784720,[57800]
468474,CHEMBL481870,[43803]
1477410,CHEMBL2253469,[69665]
562091,CHEMBL538423,[47720]
1168186,CHEMBL1813156,[58594]
1608187,CHEMBL3093803,[76252]
2052751,CHEMBL3741438,[97435]
1738705,CHEMBL3246094,[82821]
1464121,CHEMBL2229957,[67998]
112774,CHEMBL70995,[11094]
628424,CHEMBL1098670,[50990]
2013975,CHEMBL3680869,[94403]
140031,CHEMBL313468,"[10709, 82495]"
1571656,CHEMBL2407255,[74271]
433987,CHEMBL255382,[38505]
1470329,CHEMBL2234826,[68944]
548669,CHEMBL536939,[9693]
573921,CHEMBL583368,[48560]
1336159,CHEMBL2018425,[61717]
464428,CHEMBL511902,[40485]
371875,CHEMBL374882,[35247]
560386,CHEMBL556598,[47804]
462262,CHEMBL492606,"[42982, 70403]"
351370,CHEMBL438255,[31439]
1834388,CHEMBL3407639,[91355]
1065029,CHEMBL1652117,[54881]
466510,CHEMBL446331,[41942]
1365756,CHEMBL2088087,[64942]
1609018,CHEMBL3098251,[76418]
188338,CHEMBL115002,[17119]
400570,CHEMBL238379,[36842]
167393,CHEMBL322696,[17839]
1761892,CHEMBL3291326,[83817]
44687,CHEMBL281960,[9441]
1746758,CHEMBL3261796,[83257]
170124,CHEMBL102681,[6393]
1790253,CHEMBL3331249,[90765]
2012066,CHEMBL3678979,[94999]
1926651,CHEMBL3544802,"[92167, 98934]"
245051,CHEMBL147611,[15773]
1758544,CHEMBL3288011,[83763]
210927,CHEMBL125624,[13621]
1443639,CHEMBL2204029,[67025]
501812,CHEMBL498220,[46797]
1576222,CHEMBL2414981,[74562]
1475435,CHEMBL2251514,[69672]
308660,CHEMBL187061,[20158]
254372,CHEMBL345763,[6077]
1277096,CHEMBL1945718,[60953]
25739,CHEMBL20896,"[5472, 5145, 20971]"
1170707,CHEMBL1818508,[58718]
57212,CHEMBL39416,[12324]
683239,CHEMBL1209436,[52028]
171186,CHEMBL107029,[17086]
401209,CHEMBL268370,[36910]
428657,CHEMBL260674,"[39450, 62263]"
448501,CHEMBL461017,"[44513, 48644]"
19676,CHEMBL17589,[13341]
1793267,CHEMBL3338764,[89404]
389608,CHEMBL398235,"[36702, 51887]"
1746759,CHEMBL3261797,[83257]
1447837,CHEMBL2208185,[67077]
372716,CHEMBL376060,"[35215, 99812]"
1928932,CHEMBL3547086,[92920]
425451,CHEMBL414304,"[3311, 39278]"
1431140,CHEMBL2171644,[65965]
187295,CHEMBL114387,[14145]
1065216,CHEMBL1652161,[55258]
359397,CHEMBL384145,[31772]
2059112,CHEMBL3753274,[97830]
1606332,CHEMBL3091966,[76112]
1727044,CHEMBL3220642,[82033]
1056739,CHEMBL1642334,[54682]
1821111,CHEMBL3356967,[89534]
1529923,CHEMBL2348088,[72798]
461467,CHEMBL492182,[47118]
1752635,CHEMBL3274611,[83435]
31044,CHEMBL23063,"[9765, 8765]"
1075135,CHEMBL1684812,[55841]
1817852,CHEMBL3353741,[89992]
452673,CHEMBL471521,[44924]
1503157,CHEMBL2303706,"[3386, 3386]"
1353841,CHEMBL2058083,[62608]
1439736,CHEMBL2178936,[66687]
159901,CHEMBL95666,[13475]
211730,CHEMBL129399,"[16197, 92688]"
1146584,CHEMBL1778125,[57694]
1565707,CHEMBL2392128,[73948]
1272910,CHEMBL1935431,"[60674, 60674]"
126779,CHEMBL312167,[14031]
310803,CHEMBL441178,[20272]
1822503,CHEMBL3358345,[89956]
90628,CHEMBL294695,[11973]
2089684,CHEMBL3814776,[99489]
140029,CHEMBL313467,"[10709, 82495]"
532332,CHEMBL531485,[49940]
1741781,CHEMBL3249140,[82621]
284061,CHEMBL172512,[8301]
413306,CHEMBL399363,[37703]
268933,CHEMBL162847,[8265]
406966,CHEMBL392549,"[37849, 49722]"
248445,CHEMBL149239,[13761]
295457,CHEMBL412148,[5403]
1269886,CHEMBL1928915,[60502]
30339,CHEMBL23217,[5456]
1481108,CHEMBL2263259,[69895]
1493707,CHEMBL2286815,[70880]
465216,CHEMBL450736,[41336]
1378250,CHEMBL2105980,"[65106, 100208]"
474384,CHEMBL481230,"[45583, 84147]"
1513750,CHEMBL2314681,[71975]
136901,CHEMBL85584,[7902]
689979,CHEMBL1223532,[52398]
122761,CHEMBL77279,[11292]
418840,CHEMBL436632,[38136]
562530,CHEMBL540221,[47997]
260675,CHEMBL345370,[6085]
557456,CHEMBL563148,[48186]
268531,CHEMBL159878,[12725]
1343613,CHEMBL2031547,[61932]
502957,CHEMBL501025,[43488]
113669,CHEMBL70924,[2233]
72173,CHEMBL49000,[11196]
421470,CHEMBL436655,[37931]
185044,CHEMBL322765,[16136]
1738109,CHEMBL3245504,[82765]
418508,CHEMBL253590,"[38043, 49185, 75300, 98880]"
2094420,CHEMBL3827155,[99808]
1820513,CHEMBL3356375,[90018]
1963094,CHEMBL3616758,[93472]
581169,CHEMBL572314,[49009]
384593,CHEMBL441727,[36113]
419786,CHEMBL253782,"[37934, 68966]"
1348586,CHEMBL2042158,[62294]
2028017,CHEMBL3694770,[94465]
199550,CHEMBL121211,"[13057, 13057]"
1441696,CHEMBL2180877,"[66658, 77251]"
690520,CHEMBL1224067,[52501]
1724920,CHEMBL3218539,[81812]
126357,CHEMBL78418,"[9931, 9277]"
1559723,CHEMBL2377871,[73530]
468821,CHEMBL510630,[43773]
1727149,CHEMBL3220746,[81848]
146774,CHEMBL93782,[16056]
386089,CHEMBL242266,[35916]
2068209,CHEMBL3764183,[98416]
386655,CHEMBL243755,[36137]
475021,CHEMBL480754,[45576]
573341,CHEMBL577176,[48492]
177683,CHEMBL110708,[11390]
1839185,CHEMBL3415990,[91614]
2027197,,[94274]
1341644,CHEMBL2029598,[61913]
1841808,CHEMBL3422365,[91668]
1562976,CHEMBL2386212,[73752]
164131,CHEMBL431456,[15041]
487814,CHEMBL446842,[42043]
1618417,CHEMBL3115438,[76921]
306872,CHEMBL180695,[20053]
457596,CHEMBL474552,[46093]
29866,CHEMBL23344,[5457]
1964330,CHEMBL3617981,[93510]
207929,CHEMBL126446,[12594]
1946641,CHEMBL3578323,[92390]
452246,CHEMBL453953,[44881]
366932,CHEMBL374672,[34995]
1783855,CHEMBL3319202,[90598]
548999,CHEMBL557577,[20746]
573915,CHEMBL565677,[48564]
250737,CHEMBL358472,"[7078, 21701]"
306689,CHEMBL179954,[20067]
441727,CHEMBL408824,[38734]
688449,CHEMBL1222017,[52355]
1273721,CHEMBL1938882,[60867]
107512,CHEMBL68393,[15461]
42878,CHEMBL31781,[1208]
184429,CHEMBL109396,"[12542, 84147]"
502706,CHEMBL509887,[43500]
484471,CHEMBL490161,"[41482, 39829, 55386, 71863]"
276142,CHEMBL166988,[6605]
411359,CHEMBL397856,[37610]
160824,CHEMBL319759,[15156]
1494922,CHEMBL2288018,"[71081, 51887]"
2070598,CHEMBL3764849,[98421]
1491596,CHEMBL2282606,[70775]
1759590,CHEMBL3289047,[83866]
1356603,CHEMBL2063207,[62895]
354062,CHEMBL211510,[31586]
1342462,CHEMBL2030408,[61996]
277482,CHEMBL167568,[3559]
259218,CHEMBL345856,[10877]
1727258,CHEMBL3220854,[81949]
1575875,CHEMBL2414638,[74496]
713219,CHEMBL1277244,[53938]
294125,CHEMBL177776,"[7, 46650]"
1442173,CHEMBL2181349,[66749]
124462,CHEMBL307065,"[1833, 15274]"
1339745,CHEMBL2024357,[61842]
421680,CHEMBL252669,[38236]
714589,CHEMBL1288196,[54116]
450849,CHEMBL471144,"[13295, 44323, 52291, 61575, 82646]"
1503419,CHEMBL2303968,[20055]
547000,CHEMBL545290,[17623]
299423,CHEMBL178455,"[21528, 51887, 61089, 51887, 82437]"
1140100,CHEMBL1760028,[57093]
1784223,CHEMBL3319566,[90429]
1463104,CHEMBL2228950,[68041]
204564,CHEMBL124085,[8210]
436214,CHEMBL255988,[38778]
561348,CHEMBL552031,[47305]
712932,CHEMBL1276960,[53919]
376156,CHEMBL224634,[35507]
53700,CHEMBL37793,[1226]
1956319,CHEMBL3601424,[93060]
2062361,CHEMBL3759148,[97930]
1158273,CHEMBL1794942,[13337]
1278280,CHEMBL1946890,[61001]
1778708,CHEMBL3309616,[90248]
132627,CHEMBL313787,[16401]
1424642,CHEMBL2158109,[65651]
265135,CHEMBL158431,[5338]
1738511,CHEMBL3245902,[82681]
1494862,CHEMBL2287959,[70992]
564598,CHEMBL551345,[48255]
426,CHEMBL268387,[14337]
2054839,CHEMBL3741957,[97411]
1578651,CHEMBL2419866,[74745]
1830606,CHEMBL3400415,[91171]
628624,CHEMBL1095475,[50969]
690112,CHEMBL1223663,[52463]
1283265,CHEMBL1957731,[61361]
625009,CHEMBL1096906,[50946]
227209,CHEMBL136632,[13666]
1989783,,[94445]
2080746,CHEMBL3794392,[99051]
