molregno,Compound ChEMBL ID
1021080,CHEMBL1597196
88898,CHEMBL56279
1323024,CHEMBL2001733
513707,CHEMBL458305
1378381,CHEMBL2106111
191229,CHEMBL1171
1306413,CHEMBL1985122
821102,CHEMBL1397218
1754535,CHEMBL3276492
1547751,CHEMBL2373300
2081903,CHEMBL3799102
1675193,CHEMBL3185902
1294261,CHEMBL1972970
50971,CHEMBL35150
131132,CHEMBL310903
13590,CHEMBL105
1314407,CHEMBL1993116
611373,CHEMBL1080830
143801,CHEMBL89883
1306639,CHEMBL1985348
1294889,CHEMBL1973598
1672128,CHEMBL3182837
1677849,CHEMBL3188558
1448032,CHEMBL2208378
715417,CHEMBL1289015
1298191,CHEMBL1976900
1146052,CHEMBL1774999
36477,CHEMBL27942
1739891,CHEMBL3247269
1671339,CHEMBL3182048
1311055,CHEMBL1989764
1946162,CHEMBL3577849
1357866,CHEMBL2064458
21128,CHEMBL18621
674679,CHEMBL1200728
95468,CHEMBL60123
1675948,CHEMBL3186657
2082004,CHEMBL3799745
109719,CHEMBL307780
1289212,CHEMBL1967921
465104,CHEMBL517325
1403005,CHEMBL2131054
1941903,CHEMBL3560152
1304553,CHEMBL1983262
1615456,CHEMBL3110248
1148669,CHEMBL1780189
56861,CHEMBL446091
1340674,CHEMBL2028418
504925,CHEMBL452363
119196,CHEMBL75126
2039230,CHEMBL3707259
47014,CHEMBL32773
1672816,CHEMBL3183525
518550,CHEMBL459344
222053,CHEMBL135626
237511,CHEMBL142677
183789,CHEMBL112960
1673211,CHEMBL3183920
6041,CHEMBL9412
774102,CHEMBL1350218
842534,CHEMBL1418650
1740744,CHEMBL3248113
1340536,CHEMBL2028280
705497,CHEMBL1256510
2079537,CHEMBL3793598
302314,CHEMBL180570
331860,CHEMBL198959
482267,CHEMBL479320
48326,CHEMBL36008
47759,CHEMBL287308
1754981,CHEMBL3276934
1406534,CHEMBL2134583
1098269,CHEMBL1717538
1677457,CHEMBL3188166
230500,CHEMBL336669
2041471,CHEMBL3716208
835098,CHEMBL1411214
550687,CHEMBL541528
1675772,CHEMBL3186481
1675367,CHEMBL3186076
1673911,CHEMBL3184620
1799373,CHEMBL3350766
464624,CHEMBL465682
112461,CHEMBL71534
1515313,CHEMBL2316228
543659,CHEMBL545376
250973,CHEMBL423039
1572099,CHEMBL2407694
1309267,CHEMBL1987976
493643,CHEMBL503014
1413709,CHEMBL2141758
1613622,CHEMBL3105529
1741031,CHEMBL3248397
1311424,CHEMBL1990133
402789,CHEMBL235062
259614,CHEMBL154796
464208,CHEMBL505585
386973,CHEMBL397927
381507,CHEMBL389950
168427,CHEMBL320242
1324375,CHEMBL2003084
2039226,CHEMBL3707255
1297936,CHEMBL1976645
1167880,CHEMBL1812853
523392,CHEMBL488157
304389,CHEMBL182856
314999,CHEMBL359979
1297175,CHEMBL1975884
11153,CHEMBL12571
1753268,CHEMBL3275238
936817,CHEMBL1512933
1245173,CHEMBL1904602
269307,CHEMBL351063
312092,CHEMBL366070
1737043,CHEMBL3238489
408432,CHEMBL391604
1296607,CHEMBL1975316
545580,CHEMBL543829
1677736,CHEMBL3188445
1490819,CHEMBL2281836
1158125,CHEMBL1794794
523307,CHEMBL488771
503563,CHEMBL459112
67784,CHEMBL46058
259586,CHEMBL345821
1781228,CHEMBL3314507
1608920,CHEMBL3098154
674407,
514952,CHEMBL458174
35679,CHEMBL27119
67718,CHEMBL44270
1696841,CHEMBL3207550
261125,CHEMBL158237
1824725,CHEMBL3360545
1943186,CHEMBL3561435
1671873,CHEMBL3182582
1378119,CHEMBL2105849
277000,CHEMBL424390
320739,CHEMBL363186
36104,CHEMBL26945
10423,CHEMBL12318
36215,CHEMBL27608
294114,CHEMBL174100
1143499,CHEMBL1771191
1292499,CHEMBL1971208
682826,CHEMBL1209027
248785,CHEMBL148937
643683,CHEMBL1162144
1249396,CHEMBL1909809
1446125,CHEMBL2206490
144252,CHEMBL91211
1674507,CHEMBL3185216
728628,CHEMBL1304744
705916,CHEMBL1256922
610401,CHEMBL1080308
1785809,CHEMBL3323237
26240,CHEMBL276994
1244498,CHEMBL1903927
833715,CHEMBL1409831
1833139,CHEMBL3402923
236255,CHEMBL358757
300895,CHEMBL362691
1967270,CHEMBL3623577
1487962,CHEMBL2270657
1301542,CHEMBL1980251
329696,CHEMBL197557
502219,CHEMBL496253
685593,CHEMBL1213747
1837542,CHEMBL3410761
1522059,CHEMBL2332430
1304188,CHEMBL1982897
251392,CHEMBL359159
256362,CHEMBL352213
195235,CHEMBL327032
293419,CHEMBL367077
1306989,CHEMBL1985698
1612752,CHEMBL3104668
771794,CHEMBL1347910
2074728,CHEMBL3780420
1953992,CHEMBL3597043
294326,CHEMBL177481
1760311,CHEMBL3289760
420531,CHEMBL252931
232758,CHEMBL140879
367931,CHEMBL373619
685478,CHEMBL1213633
41059,CHEMBL281438
575186,CHEMBL571700
503072,CHEMBL465398
1572110,CHEMBL2407704
501439,CHEMBL489141
1061976,CHEMBL1650317
443977,CHEMBL520531
1302688,CHEMBL1981397
1799190,CHEMBL3350583
1378144,CHEMBL2105874
350579,CHEMBL211657
2077581,CHEMBL3787378
489542,CHEMBL506745
1175533,CHEMBL1828843
615193,CHEMBL1077122
229518,CHEMBL138030
1025838,CHEMBL1601954
986488,CHEMBL1562604
1378162,CHEMBL2105892
1792021,CHEMBL3337530
80595,CHEMBL51602
1325264,CHEMBL2003973
157865,CHEMBL322190
1304194,CHEMBL1982903
1336025,CHEMBL2018292
2077579,CHEMBL3785283
1784862,CHEMBL3322300
1309569,CHEMBL1988278
273942,CHEMBL163849
1227638,CHEMBL1887067
1173479,CHEMBL1823389
1603605,CHEMBL3086140
1288663,CHEMBL1967372
675036,CHEMBL1201085
16512,CHEMBL278980
594433,CHEMBL611357
262926,CHEMBL156276
164671,CHEMBL103306
1799703,CHEMBL3351096
1523056,CHEMBL2333417
1425694,CHEMBL2159151
702217,CHEMBL1242982
795280,CHEMBL1371396
1214025,CHEMBL1873454
1295848,CHEMBL1974557
10775,CHEMBL274411
1160053,CHEMBL1796998
1383846,CHEMBL2111595
1379141,
136244,CHEMBL85314
29526,CHEMBL23798
677456,CHEMBL1203505
2096430,CHEMBL3833379
419574,CHEMBL252557
1518010,CHEMBL2323847
674812,CHEMBL1200861
705487,CHEMBL1256500
163633,CHEMBL415840
516093,CHEMBL528765
35829,CHEMBL27949
